queens_condominium_property_total_units	comparable_rental_2_address/latitude	comparable_rental_2_address/human_address/address	comparable_rental_2_address/human_address/city	comparable_rental_2_address/human_address/state	comparable_rental_2_address/longitude	comparable_rental_1_neighborhood	queens_condominium_property_full_market_value	queens_condominium_property_building_classification	comparable_rental_2_gross_sqft	comparable_rental_2_building_classification	comparable_rental_2_gross_income_per_sqft	comparable_rental_1_full_market_value	comparable_rental_2_boro_block_lot	comparable_rental_1_dist_from_coop_in_miles	comparable_rental_1_gross_income_per_sqft	queens_condominium_property_gross_income_per_sqft	comparable_rental_1_building_classification	queens_condominium_property_neighborhood	comparable_rental_1_address/latitude	comparable_rental_1_address/human_address/address	comparable_rental_1_address/human_address/city	comparable_rental_1_address/human_address/state	comparable_rental_1_address/longitude	comparable_rental_2_neighborhood	queens_condominium_property_condo_section	queens_condominium_property_boro_block_lot	queens_condominium_property_year_built	comparable_rental_2_dist_from_coop_in_miles	comparable_rental_2_est_gross_income	comparable_rental_1_total_units	comparable_rental_1_market_value_per_sqft	comparable_rental_2_total_units	comparable_rental_2_full_market_value	queens_condominium_property_address/latitude	queens_condominium_property_address/human_address/address	queens_condominium_property_address/human_address/city	queens_condominium_property_address/human_address/state	queens_condominium_property_address/longitude	comparable_rental_2_year_built	queens_condominium_property_est_gross_income	queens_condominium_property_gross_sqft	comparable_rental_1_est_gross_income	queens_condominium_property_market_value_per_sqft	_comparable_rental_1_boro_block_lot	comparable_rental_1_gross_sqft	comparable_rental_2_market_value_per_sqft	comparable_rental_1_year_built
62	40.749436300045204	14 56 31 DRIVE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	4720001	R4-ELEVATOR	61700	D6-ELEVATOR	20.62	5460000	4-00531-0059	2.35	23.26	22.9	D6-ELEVATOR	JACKSON HEIGHTS	40.749436300045204	136 14 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	ASTORIA	499-R1	4-01469-7501	2006	3.3	1272343	63	104	63	5690000	40.749436300045204	35 38 JUNCTION BOULEVARD	Queens	New York	-73.79729979984586	2001	1056331	46128	1220725	102	4-04977-0017	52477	92	2000
12	40.749436300045204	14 56 31 DRIVE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	2220003	R4-ELEVATOR	61700	D6-ELEVATOR	20.62	5460000	4-00531-0059	3.35	23.26	22	D6-ELEVATOR	ELMHURST	40.749436300045204	136 14 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	ASTORIA	503-R1	4-01486-7501	2004	2.6	1272343	63	104	63	5690000	40.749436300045204	40 24 76 STREET	Queens	New York	-73.79729979984586	2001	496628	22574	1220725	98	4-04977-0017	52477	92	2000
22	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	1329996	R4-ELEVATOR	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.15	12.52	15.8	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	185-R1	4-01492-7501	1987	0.3	254501	21	47.1	21	1040000	40.749436300045204	81 09 41 AVENUE	Queens	New York	-73.79729979984586	1992	326302	20652	241090	64	4-01505-0076	19250	65	1991
65						ELMHURST	2859993	R4-ELEVATOR				3150000		0.05	13.95	13.9	D1-ELEVATOR	ELMHURST	40.749436300045204	40 25 HAMPTON STREET	Queens	New York	-73.79729979984586		291-R1	4-01505-7501	1937			60	55			40.749436300045204	40 35 ITHACA STREET	Queens	New York	-73.79729979984586		721271	51890	794990	55	4-01504-0074	57000		1939
82						SUNNYSIDE	3530008	R4-ELEVATOR				1750000		2	11.94	11.9	D1-ELEVATOR	ELMHURST	40.749436300045204	45 16 44 STREET	Queens	New York	-73.79729979984586		147-R1	4-01509-7501	1939			46	42.1			40.749436300045204	82 01 BRITTON AVENUE	Queens	New York	-73.79729979984586		1000278	84057	496600	42	4-00168-0036	41574		1928
144	40.749436300045204	83 45	Queens	New York	-73.79729979984586	ELMHURST	7840008	R4-ELEVATOR	172494	D1-ELEVATOR	12.99	5760000	4-01581-0001	0.25	13.65	13.7	D1-ELEVATOR	ELMHURST	40.749436300045204	42 42 80 STREET	Queens	New York	-73.79729979984586	ELMHURST	89-R1	4-01518-7501	1954	0.2	2240993	136	54	194	8420000	40.749436300045204	84 25 ELMHURST AVENUE	Queens	New York	-73.79729979984586	1956	1976910	144300	1453700	54	4-01525-0030	106500	48.8	1955
114	40.749436300045204	14 56 31 DRIVE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	8520012	R4-ELEVATOR	61700	D6-ELEVATOR	20.62	3770000	4-00531-0059	3.3	17.2	16	D1-ELEVATOR	ELMHURST	40.749436300045204	140 26 FRANKLIN AVENUE	Queens	New York	-73.79729979984586	ASTORIA	281-R1	4-01527-7501	1989	3.05	1272343	54	70	63	5690000	40.749436300045204	42 15 81 STREET	Queens	New York	-73.79729979984586	2001	2095680	130980	926507	65	4-05182-0009	53860	92	1999
88	40.749436300045204	41 43 39 PLACE	Queens	New York	-73.79729979984586	SUNNYSIDE	3590000	R9-CONDOPS	84000	D1-ELEVATOR	11.87	1750000	4-00186-0001	2	11.94	11.88	D1-ELEVATOR	ELMHURST	40.749436300045204	45 16 44 STREET	Queens	New York	-73.79729979984586	SUNNYSIDE	299-R1	4-01527-7502	1939	2.15	996742	46	42.1	84	3510000	40.749436300045204	42 10 82 STREET	Queens	New York	-73.79729979984586	1939	1018139	85702	496600	41.9	4-00168-0036	41574	41.8	1928
20	40.749436300045204	53 11 99 STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	1219999	R4-ELEVATOR	119348	D3-ELEVATOR	14.13	3770000	4-01936-0020	3.3	17.2	15	D1-ELEVATOR	ELMHURST	40.749436300045204	140 26 FRANKLIN AVENUE	Queens	New York	-73.79729979984586	CORONA	415-R1	4-01527-7503	2002	1.2	1686295	54	70	151	4760000	40.749436300045204	42 32 82 STREET	Queens	New York	-73.79729979984586	1984	307650	20510	926507	59	4-05182-0009	53860	39.9	1999
14						FLUSHING-NORTH	806001	R4-ELEVATOR				3770000		3.3	17.2	15	D1-ELEVATOR	ELMHURST	40.749436300045204	140 26 FRANKLIN AVENUE	Queens	New York	-73.79729979984586		441-R1	4-01527-7504	2003			54	70			40.749436300045204	42 36 82 STREET	Queens	New York	-73.79729979984586		203400	13560	926507	59	4-05182-0009	53860		1999
26	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	1660003	R4-ELEVATOR	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.5	12.52	16	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	468-R1	4-01531-7501	2005	0.4	254501	21	47.1	21	1040000	40.749436300045204	78 36 46 AVENUE	Queens	New York	-73.79729979984586	1992	407984	25499	241090	65	4-01505-0076	19250	65	1991
24	40.749436300045204	46 11 88 STREET	Queens	New York	-73.79729979984586	ELMHURST	1249996	R2-WALK-UP	29600	D9-ELEVATOR	18.44	906000	4-01584-0010	0.4	12.52	15.5	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	237-R1	4-01532-7501	1988	0.45	545824	21	47.1	32	2220000	40.749436300045204	79 12 45 AVENUE	Queens	New York	-73.79729979984586	1988	306419	19769	241090	63	4-01505-0076	19250	75	1991
75	40.749436300045204	41 42 ELBERTSON STREET	Queens	New York	-73.79729979984586	ELMHURST	4840004	R4-ELEVATOR	77960	D1-ELEVATOR	11.64	5410000	4-01554-0023	0.5	11.94	12.25	D1-ELEVATOR	ELMHURST	40.749436300045204	72 10 41 AVENUE	Queens	New York	-73.79729979984586	ELMHURST	30-R1	4-01536-7501	1980	0.6	907470	143	42.1	74	3200000	40.749436300045204	80 06 47 AVENUE	Queens	New York	-73.79729979984586	1954	1286250	105000	1534432	46.1	4-01312-0010	128535	41	1955
22	40.749436300045204	41 42 ELBERTSON STREET	Queens	New York	-73.79729979984586	ELMHURST	1610004	R4-ELEVATOR	77960	D1-ELEVATOR	11.64	5410000	4-01554-0023	0.5	11.94	14.78	D1-ELEVATOR	ELMHURST	40.749436300045204	72 10 41 AVENUE	Queens	New York	-73.79729979984586	ELMHURST	33-R1	4-01536-7502	1980	0.6	907470	143	42.1	74	3200000	40.749436300045204	76 26 47 AVENUE	Queens	New York	-73.79729979984586	1954	405711	27450	1534432	59	4-01312-0010	128535	41	1955
12	40.749436300045204	98 15 ROOSEVELT AVENUE	Queens	New York	-73.79729979984586	CORONA	612996	R2-WALK-UP	12300	C7-WALK-UP	18.89	600000	4-01764-0017	0.1	12.97	16	C1-WALK-UP	CORONA	40.749436300045204	40 37 97 STREET	Queens	New York	-73.79729979984586	CORONA	161-R1	4-01611-7501	1987	0.2	232327	16	48.8	12	945000	40.749436300045204	41 10 97 PLACE	Queens	New York	-73.79729979984586	1988	150784	9424	159599	65	4-01606-0052	12304	77	1990
16	40.749436300045204	110 17 CORONA AVENUE	Queens	New York	-73.79729979984586	CORONA	1560000	R2-WALK-UP	11000	D1-ELEVATOR	16.09	1600000	4-02011-0036	0.4	24.01	25	D9-ELEVATOR	CORONA	40.749436300045204	112 31 38 AVENUE	Queens	New York	-73.79729979984586	CORONA	469-R1	4-01775-7501	2005	0.85	176952	17	106	18	720000	40.749436300045204	104 19 39 AVENUE	Queens	New York	-73.79729979984586	2001	350000	14000	362000	111	4-01782-0040	15077	65	2006
87	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	7170004	R4-ELEVATOR	35100	D1-ELEVATOR	20.8	3770000	4-04954-0131	1.85	17.2	20.52	D1-ELEVATOR	CORONA	40.749436300045204	140 26 FRANKLIN AVENUE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	452-R1	4-01779-7501	2005	1.95	730080	54	70	27	3260000	40.749436300045204	38 11 108 STREET	Queens	New York	-73.79729979984586	1999	1604458	78190	926507	92	4-05182-0009	53860	93	1999
24						CORONA	1899994	R2-WALK-UP				882000		0.55	13.04	20	D1-ELEVATOR	CORONA	40.749436300045204	48 10 111 STREET	Queens	New York	-73.79729979984586		426-R1	4-01781-7501	2002			22	49			40.749436300045204	118 37 AVENUE	Queens	New York	-73.79729979984586		426240	21312	234747	89	4-02004-0043	18000		1988
74	40.749436300045204	79 06 35 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	2239984	R4-ELEVATOR	95000	D1-ELEVATOR	9.46	2970000	4-01279-0001	1.3	9.66	10.2	D1-ELEVATOR	ELMHURST	40.749436300045204	78 01 34 AVENUE	Queens	New York	-73.79729979984586	JACKSON HEIGHTS	333-R1	4-01837-7501	1959	1	898632	96	32.7	96	2960000	40.749436300045204	88 30 51 AVENUE	Queens	New York	-73.79729979984586	1950	662367	64938	878328	34.5	4-01251-0030	90950	31.2	1950
100	40.749436300045204	110 14 ASTORIA BOULEVARD	Queens	New York	-73.79729979984586	BAYSIDE	3048109	R4-ELEVATOR	84580	D3-ELEVATOR	9.25	6190000	4-01704-0172	5.8	17.55	0	D9-ELEVATOR	ELMHURST	40.749436300045204	23 50 CORPORAL KENNEDY ST	Queens	New York	-73.79729979984586	EAST ELMHURST	98-R1	4-01842-7501	1986	1.75	782258	150	49.6	63	2580000	40.749436300045204	87 08 JUSTICE AVENUE	Queens	New York	-73.79729979984586	1991	0	104150	2191600	29.3	4-05863-0250	124877	30.5	1981
14	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	488998	R2-WALK-UP	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.65	12.52	14	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	360-R1	4-01853-7503	1989	0.5	254501	21	47.1	21	1040000	40.749436300045204	90 70 51 AVENUE	Queens	New York	-73.79729979984586	1992	123298	8807	241090	56	4-01505-0076	19250	65	1991
77	40.749436300045204	94 10	Queens	New York	-73.79729979984586	ELMHURST	3945058	R4-ELEVATOR	75360	D1-ELEVATOR	15	3320000	4-01913-0001	1	15.53	17.95	D1-ELEVATOR	ELMHURST	40.749436300045204	75 06 WOODSIDE AVENUE	Queens	New York	-73.79729979984586	ELMHURST	454-R1	4-01855-7501	1964	0.45	1130450	74	63	88	4480000	40.749436300045204	53 11 90 STREET	Queens	New York	-73.79729979984586	1965	1292400	72000	815958	55	4-01519-0028	52553	59	1962
20	40.749436300045204	52 08 90 STREET	Queens	New York	-73.79729979984586	ELMHURST	1530000	R4-ELEVATOR	10400	C1-WALK-UP	10.57	933000	4-01838-0041	1.25	16.66	16.65	C1-WALK-UP	ELMHURST	40.749436300045204	70 06 WOODSIDE AVENUE	Queens	New York	-73.79729979984586	ELMHURST	445-R1	4-01857-7501	2004	0.2	109954	23	68	16	372000	40.749436300045204	90 20 55 AVENUE	Queens	New York	-73.79729979984586	1974	375224	22536	229500	68	4-01349-0016	13772	35.8	1961
66	40.749436300045204	40 70 HAMPTON STREET	Queens	New York	-73.79729979984586	ELMHURST	3750000	R9-CONDOPS	89772	D1-ELEVATOR	12.35	14000000	4-01505-0037	1.2	14.17	13.15	D1-ELEVATOR	ELMHURST	40.749436300045204	80 15 41 AVENUE	Queens	New York	-73.79729979984586	ELMHURST	129-R1	4-01910-7501	1961	1.05	1108448	287	56	104	4170000	40.749436300045204	57 10 JUNCTION BOULEVARD	Queens	New York	-73.79729979984586	1963	996507	75780	3522156	49.5	4-01491-0021	248620	46.5	1959
132	40.749436300045204	80 15 41 AVENUE	Queens	New York	-73.79729979984586	ELMHURST	7470000	R9-CONDOPS	248620	D1-ELEVATOR	14.17	4170000	4-01491-0021	1.1	12.35	13.15	D1-ELEVATOR	ELMHURST	40.749436300045204	40 70 HAMPTON STREET	Queens	New York	-73.79729979984586	ELMHURST	129-R2	4-01910-7501	1961	1.25	3522156	104	46.5	287	14000000	40.749436300045204	94 31 59 AVENUE	Queens	New York	-73.79729979984586	1959	1987780	151162	1108448	49.4	4-01505-0037	89772	56	1963
264	40.749436300045204	40 70 HAMPTON STREET	Queens	New York	-73.79729979984586	ELMHURST	14900004	R9-CONDOPS	89772	D1-ELEVATOR	12.35	14000000	4-01505-0037	1.3	14.17	13.15	D1-ELEVATOR	ELMHURST	40.749436300045204	80 15 41 AVENUE	Queens	New York	-73.79729979984586	ELMHURST	129-R3	4-01910-7501	1961	1.15	1108448	287	56	104	4170000	40.749436300045204	94 31 60 AVENUE	Queens	New York	-73.79729979984586	1963	3974403	302236	3522156	49.3	4-01491-0021	248620	46.5	1959
66	40.749436300045204	40 70 HAMPTON STREET	Queens	New York	-73.79729979984586	ELMHURST	3740000	R9-CONDOPS	89772	D1-ELEVATOR	12.35	14000000	4-01505-0037	1.35	14.17	13.15	D1-ELEVATOR	ELMHURST	40.749436300045204	80 15 41 AVENUE	Queens	New York	-73.79729979984586	ELMHURST	129-R4	4-01910-7501	1961	1.2	1108448	287	56	104	4170000	40.749436300045204	94 30 60 AVENUE	Queens	New York	-73.79729979984586	1963	995362	75693	3522156	49.4	4-01491-0021	248620	46.5	1959
29	40.749436300045204	40 37 97 STREET	Queens	New York	-73.79729979984586	CORONA	1220000	R4-ELEVATOR	12304	C1-WALK-UP	12.97	882000	4-01606-0052	0.3	13.04	13	D1-ELEVATOR	CORONA	40.749436300045204	48 10 111 STREET	Queens	New York	-73.79729979984586	CORONA	367-R1	4-01955-7501	1992	0.8	159599	22	49	16	600000	40.749436300045204	54 09 108 STREET	Queens	New York	-73.79729979984586	1990	325520	25040	234747	48.7	4-02004-0043	18000	48.8	1988
30	40.749436300045204	14 56 31 DRIVE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	1859999	R4-ELEVATOR	61700	D6-ELEVATOR	20.62	5460000	4-00531-0059	1.9	23.26	22.9	D6-ELEVATOR	CORONA	40.749436300045204	136 14 NORTHERN BOULEVARD	Queens	New York	-73.79729979984586	ASTORIA	502-R1	4-01993-7501	2004	4.25	1272343	63	104	63	5690000	40.749436300045204	106 19 50 AVENUE	Queens	New York	-73.79729979984586	2001	415314	18136	1220725	103	4-04977-0017	52477	92	2000
112	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	REGO PARK	8759990	R4-ELEVATOR	35100	D1-ELEVATOR	20.8	3980000	4-04954-0131	0.4	14.98	15.7	D1-ELEVATOR	REGO PARK	40.749436300045204	63 36 98 PLACE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	143-R1	4-02075-7501	1985	3.2	730080	66	59	27	3260000	40.749436300045204	92 28 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1999	2154040	137200	1003304	64	4-02098-0018	66962	93	1980
206	40.749436300045204	98 38 57 AVENUE	Queens	New York	-73.79729979984586	CORONA	8060019	R4-ELEVATOR	220000	D1-ELEVATOR	12.03	8950000	4-01918-0080	0.2	11.34	12	D1-ELEVATOR	REGO PARK	40.749436300045204	98 32 57 AVENUE	Queens	New York	-73.79729979984586	CORONA	229-R1	4-02082-7501	1988	0.2	2647233	232	40	224	9330000	40.749436300045204	62 54 97 PLACE	Queens	New York	-73.79729979984586	1965	2285976	190498	2539658	42.3	4-01918-0072	224000	42.4	1965
73						FLUSHING-NORTH	3750000	R4-ELEVATOR				3260000		3.1	20.8	18	D1-ELEVATOR	REGO PARK	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586		322-R1	4-02090-7501	1992			27	93			40.749436300045204	97 12 63 DRIVE	Queens	New York	-73.79729979984586		922572	51254	730080	73	4-04954-0131	35100		1999
32	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	3340006	R4-ELEVATOR	35100	D1-ELEVATOR	20.8	3770000	4-04954-0131	2.45	17.2	24.5	D1-ELEVATOR	REGO PARK	40.749436300045204	140 26 FRANKLIN AVENUE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	457-R1	4-02099-7501	1999	2.95	730080	54	70	27	3260000	40.749436300045204	63 26 99 STREET	Queens	New York	-73.79729979984586	1999	747740	30520	926507	109	4-05182-0009	53860	93	1999
139	40.749436300045204	43 32 KISSENA BOULEVARD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	6450000	R4-ELEVATOR	267554	D3-ELEVATOR	13.81	15000000	4-05137-0084	2.2	14	13	D3-ELEVATOR	REGO PARK	40.749436300045204	42 49 COLDEN STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	61-R1	4-02112-7501	1949	2.2	3694000	284	55	287	14600000	40.749436300045204	63 60 102 STREET	Queens	New York	-73.79729979984586	1962	1716000	132000	3787000	48.9	4-05137-0012	270499	55	1962
489	40.749436300045204	102 50 62 ROAD	Queens	New York	-73.79729979984586	REGO PARK	19700000	R9-CONDOPS	94350	D1-ELEVATOR	12.55	4850000	4-02122-0028	0.4	11.37	12.5	D1-ELEVATOR	REGO PARK	40.749436300045204	63 60 98 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	334-R1	4-02118-7501	1952	0.5	1184349	129	40	102	4450000	40.749436300045204	99 32 66 ROAD	Queens	New York	-73.79729979984586	1956	5237250	418980	1376596	47	4-02090-0026	121110	47.2	1951
157	40.749436300045204	93 10 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	REGO PARK	7270007	R4-ELEVATOR	104708	D7-ELEVATOR	13.84	9640000	4-03078-0085	0.25	13.68	13	D3-ELEVATOR	REGO PARK	40.749436300045204	98 05 67 AVENUE	Queens	New York	-73.79729979984586	REGO PARK	183-R1	4-02119-7501	1959	0.75	1449479	181	54	114	5750000	40.749436300045204	100 25 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1950	1934400	148800	2431751	48.9	4-03156-0133	177710	55	1960
20	40.749436300045204	14 09 GATEWAY BOULEVARD	Queens	New York	-73.79729979984586	ASTORIA	1639998	R2-WALK-UP	23500	C1-WALK-UP	18.91	1310000	4-15574-0028	5.1	15.53	15.5	C9-WALK-UP	FOREST HILLS	40.749436300045204	19 09 21 AVENUE	Queens	New York	-73.79729979984586	FAR ROCKAWAY	172-R1	4-02186-7501	1951	10.3	444385	27	63	24	1460000	40.749436300045204	110 14 65 AVENUE	Queens	New York	-73.79729979984586	1947	403837	26054	322543	63	4-00893-0002	20763	62	1949
73	40.749436300045204	99 60 64 AVENUE	Queens	New York	-73.79729979984586	REGO PARK	3360017	R4-ELEVATOR	110985	D1-ELEVATOR	12.5	4280000	4-02113-0034	1.1	12.57	14.8	D1-ELEVATOR	FOREST HILLS	40.749436300045204	97 25 64 AVENUE	Queens	New York	-73.79729979984586	REGO PARK	75-R1	4-02224-7501	1960	0.9	1387000	113	47.3	132	5210000	40.749436300045204	109 33 71 ROAD	Queens	New York	-73.79729979984586	1952	847581	57269	1137494	59	4-02090-0047	90500	46.9	1950
120	40.749436300045204	102 30 67 AVENUE	Queens	New York	-73.79729979984586	FOREST HILLS	7320000	R9-CONDOPS	125400	D1-ELEVATOR	13.54	8130000	4-02134-0013	0.95	13.57	13.5	D1-ELEVATOR	FOREST HILLS	40.749436300045204	66 25 103 STREET	Queens	New York	-73.79729979984586	FOREST HILLS	177-R1	4-02239-7501	1966	0.85	1697316	148	51	123	6380000	40.749436300045204	111 01 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1963	1948185	144310	2163049	51	4-02132-0045	159348	51	1964
226	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	REGO PARK	26699997	R4-ELEVATOR	35100	D1-ELEVATOR	20.8	3980000	4-04954-0131	1.5	14.98	21.2	D1-ELEVATOR	FOREST HILLS	40.749436300045204	63 36 98 PLACE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	339-R1	4-02264-7501	1991	3.45	730080	66	59	27	3260000	40.749436300045204	112 01 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1999	5984717	282298	1003304	95	4-02098-0018	66962	93	1980
28	40.749436300045204	32 08 UNION STREET	Queens	New York	-73.79729979984586	REGO PARK	2080000	R4-ELEVATOR	35100	D1-ELEVATOR	20.8	3980000	4-04954-0131	1.65	14.98	16	D1-ELEVATOR	FLUSHING MEADOW PARK	40.749436300045204	63 36 98 PLACE	Queens	New York	-73.79729979984586	FLUSHING-NORTH	342-R1	4-02267-7501	1990	3.5	730080	66	59	27	3260000	40.749436300045204	76 01 113 STREET	Queens	New York	-73.79729979984586	1999	512000	32000	1003304	65	4-02098-0018	66962	93	1980
17	40.749436300045204	166 15 DEPOT ROAD	Queens	New York	-73.79729979984586	FLUSHING-NORTH	730002	R2-WALK-UP	13549	C1-WALK-UP	10.61	509000	4-05293-0045	4.8	11.92	11.9	C1-WALK-UP	MASPETH	40.749436300045204	35 20 149 STREET	Queens	New York	-73.79729979984586	FLUSHING-NORTH	154-R1	4-02383-7501	1987	5.6	143700	16	42	16	486000	40.749436300045204	65 31 52 AVENUE	Queens	New York	-73.79729979984586	1975	207060	17400	144450	42	4-05005-0045	12120	35.9	1975
15	40.749436300045204	27 10 ASTORIA BOULEVARD	Queens	New York	-73.79729979984586	ASTORIA	1439999	R4-ELEVATOR	25920	D7-ELEVATOR	19.9	1080000	4-00573-0046	2.85	20.8	20.8	D3-ELEVATOR	ELMHURST	40.749436300045204	25 16 33 STREET	Queens	New York	-73.79729979984586	ASTORIA	519-R1	4-02467-7502	1990	3.1	515860	11	93	27	2310000	40.749436300045204	79 39 CALAMUS AVENUE	Queens	New York	-73.79729979984586	2004	321172	15441	241197	93	4-00620-0178	11596	89	2004
30	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	4269998	R4-ELEVATOR	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.7	12.52	35	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	480-R1	4-02474-7501	2004	0.45	254501	21	47.1	21	1040000	40.749436300045204	81 18 QUEENS BOULEVARD	Queens	New York	-73.79729979984586	1992	849975	24285	241090	176	4-01505-0076	19250	65	1991
62	40.749436300045204	75 06 WOODSIDE AVENUE	Queens	New York	-73.79729979984586	ELMHURST	2959974	R4-ELEVATOR	52553	D1-ELEVATOR	15.53	2500000	4-01519-0028	0.75	12.51	14.55	D1-ELEVATOR	ELMHURST	40.749436300045204	40 94 WHITNEY AVENUE	Queens	New York	-73.79729979984586	ELMHURST	145-R1	4-02476-7501	1962	0.65	815958	77	46.9	74	3320000	40.749436300045204	51 33 GOLDSMITH STREET	Queens	New York	-73.79729979984586	1962	747011	51341	666174	58	4-01553-0028	53250	63	1960
12	40.749436300045204	52 08 90 STREET	Queens	New York	-73.79729979984586	ELMHURST	465000	R4-ELEVATOR	10400	C1-WALK-UP	10.57	906000	4-01838-0041	1.5	12.52	11.2	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	203-R1	4-02500-7501	1988	1.3	109954	21	47.1	16	372000	40.749436300045204	55 36 69 PLACE	Queens	New York	-73.79729979984586	1974	131958	11782	241090	39.5	4-01505-0076	19250	35.8	1991
11	40.749436300045204	123 20 82 AVENUE	Queens	New York	-73.79729979984586	CORONA	651000	R4-ELEVATOR	12905	D7-ELEVATOR	18.06	998000	4-03359-0011	3.35	16.36	16.4	D7-ELEVATOR	MASPETH	40.749436300045204	111 88 43 AVENUE	Queens	New York	-73.79729979984586	KEW GARDENS	153-R1	4-02756-7501	1987	3.85	233085	24	67	18	948000	40.749436300045204	62 36 59 DRIVE	Queens	New York	-73.79729979984586	1996	160146	9765	245386	67	4-02016-0046	15000	73	1988
37	40.749436300045204	60 15 FRESH POND ROAD	Queens	New York	-73.79729979984586	MASPETH	2559996	R2-WALK-UP	32526	C1-WALK-UP	12.98	1860000	4-02757-0001	0.75	18.26	17.85	C9-WALK-UP	MASPETH	40.749436300045204	60 06 60 DRIVE	Queens	New York	-73.79729979984586	MASPETH	175-R1	4-02784-7501	1987	0.5	422308	31	74	36	1590000	40.749436300045204	61 12 69 STREET	Queens	New York	-73.79729979984586	1942	630391	35316	457195	72	4-02734-0001	25036	48.9	1996
13	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	770997	R2-WALK-UP	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	1.45	12.52	18.63	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	266-R1	4-02796-7501	1989	1.3	254501	21	47.1	21	1040000	40.749436300045204	57 15 69 LANE	Queens	New York	-73.79729979984586	1992	189467	10170	241090	76	4-01505-0076	19250	65	1991
20	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	1329999	R4-ELEVATOR	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	0.75	12.52	15.8	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	113-R1	4-02851-7501	1986	0.5	254501	21	47.1	21	1040000	40.749436300045204	87 12 GRAND AVENUE	Queens	New York	-73.79729979984586	1992	326728	20679	241090	64	4-01505-0076	19250	65	1991
25	40.749436300045204	85 11 ELMHURST AVENUE	Queens	New York	-73.79729979984586	ELMHURST	1410001	R4-ELEVATOR	16101	D1-ELEVATOR	15.81	906000	4-01518-0047	1	12.52	17	D1-ELEVATOR	ELMHURST	40.749436300045204	40 23 ITHACA STREET	Queens	New York	-73.79729979984586	ELMHURST	133-R1	4-02858-7501	1987	0.8	254501	21	47.1	21	1040000	40.749436300045204	87 14 57 ROAD	Queens	New York	-73.79729979984586	1992	345661	20333	241090	69	4-01505-0076	19250	65	1991
