year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2010	STATEN ISLAND	80	3	ELL	183	100	1.6	627	0	0	1.6	54.6	8	43.7	3
2010	STATEN ISLAND	318	1715	EP	4218	1961	46	656	224	5.3	40.7	46.5	8	7.5	1939
2011	STATEN ISLAND	78	0	ELL	189	111	0	626	0	0	0	58.7	8	41.3	0
2011	STATEN ISLAND	249	1761	EP	4141	2095	43.4	654	36	0.9	42.5	50.6	8	6	1797
2012	STATEN ISLAND	62	4	ELL	165	99	2.4	631	0	0	2.4	60	8	37.6	4
2012	STATEN ISLAND	205	1962	EP	4075	1839	49.8	658	69	1.7	48.1	45.1	8	5	2031
2006	STATEN ISLAND	203	54	ELL	479	222	11.3	607	0	0	11.3	46.3	All Grades	42.4	54
2006	STATEN ISLAND	1687	13363	EP	24462	7308	63.2	661	2104	8.6	54.6	29.9	All Grades	6.9	15467
2007	STATEN ISLAND	332	211	ELL	1163	617	18.4	621	3	0.3	18.1	53.1	All Grades	28.5	214
2007	STATEN ISLAND	1205	14201	EP	24654	7731	63.8	661	1517	6.2	57.6	31.4	All Grades	4.9	15718
2008	STATEN ISLAND	248	266	ELL	1261	741	21.6	628	6	0.5	21.1	58.8	All Grades	19.7	272
2008	STATEN ISLAND	777	15440	EP	24405	6735	69.2	664	1453	6	63.3	27.6	All Grades	3.2	16893
2009	STATEN ISLAND	136	444	ELL	1364	779	32.9	638	5	0.4	32.6	57.1	All Grades	10	449
2009	STATEN ISLAND	436	17228	EP	24579	5017	77.8	668	1898	7.7	70.1	20.4	All Grades	1.8	19126
2010	STATEN ISLAND	581	158	ELL	1439	689	11.7	643	11	0.8	11	47.9	All Grades	40.4	169
2010	STATEN ISLAND	2441	10492	EP	24721	9560	51.5	666	2228	9	42.4	38.7	All Grades	9.9	12720
2011	STATEN ISLAND	521	145	ELL	1366	700	10.6	643	0	0	10.6	51.2	All Grades	38.1	145
2011	STATEN ISLAND	2082	12669	EP	25023	9481	53.8	665	791	3.2	50.6	37.9	All Grades	8.3	13460
2012	STATEN ISLAND	501	147	ELL	1328	679	11.1	644	1	0.1	11.1	51.1	All Grades	37.7	148
2012	STATEN ISLAND	1853	13579	EP	25176	8631	58.4	668	1113	4.4	53.9	34.3	All Grades	7.4	14692
