year	borough	num_level_1	num_level_3	demographic	number_tested	num_level_2	pct_level_3_and_4	mean_scale_score	num_level_4	pct_level_4	pct_level_3	pct_level_2	grade	pct_level_1	num_level_3_and_4
2010	BROOKLYN	854	345	ELL	2330	1111	15.7	651	20	0.9	14.8	47.7	5	36.7	365
2010	BROOKLYN	2289	7021	EP	18505	6967	50	672	2228	12	37.9	37.6	5	12.4	9249
2011	BROOKLYN	927	361	ELL	2538	1246	14.4	650	4	0.2	14.2	49.1	5	36.5	365
2011	BROOKLYN	1657	8941	EP	18576	7009	53.3	669	969	5.2	48.1	37.7	5	8.9	9910
2012	BROOKLYN	925	336	ELL	2415	1154	13.9	650	0	0	13.9	47.8	5	38.3	336
2012	BROOKLYN	1601	9637	EP	18352	6197	57.5	670	917	5	52.5	33.8	5	8.7	10554
2006	BROOKLYN	391	57	ELL	963	514	6	602	1	0.1	5.9	53.4	6	40.6	58
2006	BROOKLYN	1853	9109	EP	21171	8779	49.8	647	1430	6.8	43	41.5	6	8.8	10539
2007	BROOKLYN	258	127	ELL	1594	1207	8.1	619	2	0.1	8	75.7	6	16.2	129
2007	BROOKLYN	611	9314	EP	20312	9376	50.8	653	1011	5	45.9	46.2	6	3	10325
2008	BROOKLYN	227	203	ELL	1809	1379	11.2	625	0	0	11.2	76.2	6	12.5	203
2008	BROOKLYN	358	10751	EP	19874	8337	56.2	654	428	2.2	54.1	41.9	6	1.8	11179
2009	BROOKLYN	22	634	ELL	1937	1279	32.8	642	2	0.1	32.7	66	6	1.1	636
2009	BROOKLYN	22	13449	EP	19142	4476	76.5	663	1195	6.2	70.3	23.4	6	0.1	14644
2010	BROOKLYN	1090	97	ELL	1952	763	5.1	639	2	0.1	5	39.1	6	55.8	99
2010	BROOKLYN	2632	7323	EP	18857	8326	41.9	659	576	3.1	38.8	44.2	6	14	7899
