level_4_2	level_1_1	year	level_1_2	level_2_1	level_2_2	level_3_1	level_3_2	level_4_1	level_3_4_2	number_tested	mean_scale_score	level_3_4_1	district	grade	category
5.6	156	2009	6.0	647	24.8	1656	63.6	146	69.2	2605	662	1802	29	3	All Students
4.1	136	2009	5.2	676	26.0	1685	64.7	107	68.8	2604	662	1792	29	4	All Students
7.1	18	2009	0.7	636	23.9	1823	68.4	188	75.5	2665	667	2011	29	5	All Students
4.6	6	2009	0.2	676	26.5	1756	68.7	117	73.3	2555	661	1873	29	6	All Students
2.0	16	2009	0.6	715	27.3	1835	70.1	53	72.1	2619	658	1888	29	7	All Students
1.4	45	2009	1.7	1115	42.4	1432	54.4	38	55.9	2630	652	1470	29	8	All Students
4.1	377	2009	2.4	4465	28.5	10187	65.0	649	69.1	15678	660	10836	29	All Grades	All Students
8.1	132	2009	4.6	602	20.8	1922	66.5	234	74.6	2890	667	2156	30	3	All Students
6.8	136	2009	4.8	613	21.7	1878	66.6	193	73.4	2820	667	2071	30	4	All Students
10.3	34	2009	1.2	626	21.5	1955	67.0	301	77.4	2916	670	2256	30	5	All Students
9.4	1	2009	0.0	639	21.0	2119	69.6	287	79.0	3046	667	2406	30	6	All Students
6.0	12	2009	0.4	611	21.8	2013	71.8	169	77.8	2805	665	2182	30	7	All Students
5.0	66	2009	2.3	886	30.7	1785	61.9	145	67.0	2882	659	1930	30	8	All Students
7.7	381	2009	2.2	3977	22.9	11672	67.2	1329	74.9	17359	666	13001	30	All Grades	All Students
10.0	262	2009	5.9	817	18.3	2940	65.9	445	75.8	4464	669	3385	31	3	All Students
5.9	208	2009	4.8	862	19.8	3034	69.6	257	75.5	4361	668	3291	31	4	All Students
12.2	18	2009	0.4	745	17.2	3038	70.1	530	82.4	4331	674	3568	31	5	All Students
7.0	11	2009	0.3	988	23.4	2919	69.3	297	76.3	4215	664	3216	31	6	All Students
5.6	23	2009	0.5	864	20.1	3170	73.8	240	79.4	4297	666	3410	31	7	All Students
3.1	50	2009	1.2	1520	35.6	2571	60.1	134	63.3	4275	657	2705	31	8	All Students
7.3	572	2009	2.2	5796	22.3	17672	68.1	1903	75.5	25943	666	19575	31	All Grades	All Students
3.8	104	2009	8.1	419	32.7	711	55.4	49	59.2	1283	655	760	32	3	All Students
2.0	99	2009	7.5	444	33.6	754	57.0	26	59.0	1323	653	780	32	4	All Students
7.6	8	2009	0.6	408	29.6	858	62.2	105	69.8	1379	665	963	32	5	All Students
4.1	3	2009	0.2	463	29.5	1042	66.3	64	70.4	1572	659	1106	32	6	All Students
1.5	9	2009	0.6	562	35.9	970	62.0	24	63.5	1565	656	994	32	7	All Students
1.7	62	2009	4.1	667	43.6	775	50.7	26	52.4	1530	649	801	32	8	All Students
3.4	285	2009	3.3	2963	34.2	5110	59.1	294	62.5	8652	656	5404	32	All Grades	All Students
19.2	137	2010	16.2	276	32.5	272	32.1	163	51.3	848	669	435	1	3	All Students
9.1	103	2011	12.7	265	32.6	371	45.6	74	54.7	813	665	445	1	3	All Students
4.9	90	2010	10.1	386	43.3	372	41.7	44	46.6	892	669	416	1	4	All Students
4.6	81	2011	9.5	313	36.7	420	49.2	39	53.8	853	672	459	1	4	All Students
13.7	124	2010	15.6	308	38.8	252	31.8	109	45.5	793	672	361	1	5	All Students
6.8	85	2011	9.9	322	37.5	393	45.8	58	52.6	858	668	451	1	5	All Students
9.3	108	2010	13.8	334	42.6	269	34.3	73	43.6	784	664	342	1	6	All Students
7.0	108	2011	13.3	309	38.0	340	41.8	57	48.8	814	662	397	1	6	All Students
14.7	90	2010	10.4	356	41.2	292	33.8	127	48.4	865	671	419	1	7	All Students
4.2	68	2011	8.9	371	48.4	296	38.6	32	42.8	767	663	328	1	7	All Students
7.9	113	2010	12.7	398	44.8	308	34.6	70	42.5	889	655	378	1	8	All Students
1.3	80	2011	9.1	444	50.6	343	39.1	11	40.3	878	653	354	1	8	All Students
11.6	662	2010	13.1	2058	40.6	1765	34.8	586	46.4	5071	666	2351	1	All Grades	All Students
5.4	525	2011	10.5	2024	40.6	2163	43.4	271	48.8	4983	664	2434	1	All Grades	All Students
29.3	151	2010	6.7	524	23.3	918	40.7	660	70.0	2253	680	1578	2	3	All Students
9.5	153	2011	6.2	536	21.6	1560	62.8	236	72.3	2485	671	1796	2	3	All Students
10.6	108	2010	4.5	602	25.2	1424	59.6	254	70.3	2388	682	1678	2	4	All Students
7.5	99	2011	4.2	515	21.8	1572	66.6	176	74.0	2362	684	1748	2	4	All Students
27.6	144	2010	6.4	476	21.2	1008	44.8	621	72.4	2249	687	1629	2	5	All Students
9.6	178	2011	7.2	563	22.8	1494	60.5	236	70.0	2471	674	1730	2	5	All Students
8.1	175	2010	8.2	619	28.8	1179	54.9	174	63.0	2147	667	1353	2	6	All Students
7.9	186	2011	8.3	533	23.7	1348	60.0	178	68.0	2245	668	1526	2	6	All Students
20.1	126	2010	6.2	583	28.6	923	45.2	410	65.3	2042	678	1333	2	7	All Students
7.2	140	2011	6.3	688	31.0	1235	55.6	159	62.7	2222	670	1394	2	7	All Students
9.1	132	2010	6.1	774	35.7	1066	49.1	197	58.2	2169	663	1263	2	8	All Students
2.3	139	2011	6.3	757	34.5	1249	56.9	50	59.2	2195	660	1299	2	8	All Students
17.5	836	2010	6.3	3578	27.0	6518	49.2	2316	66.7	13248	676	8834	2	All Grades	All Students
7.4	895	2011	6.4	3592	25.7	8458	60.5	1035	67.9	13980	671	9493	2	All Grades	All Students
21.9	212	2010	15.4	417	30.2	448	32.5	302	54.4	1379	673	750	3	3	All Students
9.0	133	2011	9.5	411	29.5	725	52.0	125	61.0	1394	667	850	3	3	All Students
9.5	124	2010	8.9	511	36.6	628	45.0	132	54.5	1395	674	760	3	4	All Students
