level_4_2	level_1_1	year	level_1_2	level_2_1	level_2_2	level_3_1	level_3_2	level_4_1	level_3_4_2	number_tested	mean_scale_score	level_3_4_1	district	grade	category
5.3	99	2011	7.2	463	33.7	740	53.8	73	59.1	1375	676	813	3	4	All Students
19.1	154	2010	11.6	433	32.6	487	36.7	253	55.8	1327	678	740	3	5	All Students
8.0	134	2011	9.9	445	32.8	668	49.3	108	57.3	1355	670	776	3	5	All Students
8.4	166	2010	13.3	464	37.2	511	41.0	105	49.4	1246	665	616	3	6	All Students
7.1	125	2011	9.7	390	30.3	680	52.9	91	60.0	1286	666	771	3	6	All Students
18.1	98	2010	8.0	452	36.8	456	37.1	222	55.2	1228	675	678	3	7	All Students
6.4	83	2011	6.8	499	41.0	558	45.8	78	52.2	1218	667	636	3	7	All Students
8.0	128	2010	10.0	543	42.4	508	39.6	103	47.7	1282	658	611	3	8	All Students
1.7	87	2011	7.0	580	46.6	557	44.7	21	46.4	1245	656	578	3	8	All Students
14.2	882	2010	11.2	2820	35.9	3038	38.7	1117	52.9	7857	671	4155	3	All Grades	All Students
6.3	661	2011	8.4	2788	35.4	3928	49.9	496	56.2	7873	667	4424	3	All Grades	All Students
10.1	218	2010	19.7	396	35.9	379	34.3	111	44.4	1104	660	490	4	3	All Students
2.6	233	2011	20.3	444	38.8	438	38.3	30	40.9	1145	657	468	4	3	All Students
3.9	121	2010	10.7	515	45.7	446	39.6	44	43.5	1126	665	490	4	4	All Students
1.2	95	2011	8.8	430	39.7	544	50.3	13	51.5	1082	668	557	4	4	All Students
9.6	196	2010	18.1	426	39.4	354	32.8	104	42.4	1080	667	458	4	5	All Students
2.8	130	2011	12.1	487	45.2	431	40.0	30	42.8	1078	665	461	4	5	All Students
0.7	207	2010	18.9	552	50.4	328	30.0	8	30.7	1095	654	336	4	6	All Students
0.7	220	2011	20.5	448	41.8	397	37.0	8	37.7	1073	656	405	4	6	All Students
3.8	202	2010	17.9	584	51.9	297	26.4	43	30.2	1126	657	340	4	7	All Students
0.6	146	2011	13.2	647	58.3	309	27.9	7	28.5	1109	657	316	4	7	All Students
1.6	189	2010	16.1	677	57.5	292	24.8	19	26.4	1177	645	311	4	8	All Students
0.5	142	2011	12.5	696	61.5	288	25.4	6	26.0	1132	647	294	4	8	All Students
4.9	1133	2010	16.9	3150	47.0	2096	31.2	329	36.2	6708	658	2425	4	All Grades	All Students
1.4	966	2011	14.6	3152	47.6	2407	36.4	94	37.8	6619	658	2501	4	All Grades	All Students
5.7	273	2010	27.7	389	39.4	269	27.3	56	32.9	987	655	325	5	3	All Students
1.0	249	2011	26.6	419	44.8	258	27.6	9	28.6	935	651	267	5	3	All Students
0.8	191	2010	18.7	548	53.6	276	27.0	8	27.8	1023	656	284	5	4	All Students
0.0	162	2011	16.4	496	50.4	327	33.2	0	33.2	985	658	327	5	4	All Students
3.0	246	2010	26.0	442	46.8	229	24.2	28	27.2	945	658	257	5	5	All Students
1.7	167	2011	18.7	433	48.5	277	31.1	15	32.7	892	660	292	5	5	All Students
1.5	220	2010	21.3	489	47.4	307	29.8	15	31.2	1031	654	322	5	6	All Students
1.2	255	2011	25.6	443	44.4	288	28.9	12	30.1	998	653	300	5	6	All Students
4.0	225	2010	19.4	603	51.9	288	24.8	46	28.7	1162	656	334	5	7	All Students
0.9	204	2011	19.2	605	56.9	245	23.0	10	24.0	1064	654	255	5	7	All Students
1.1	214	2010	17.6	707	58.3	279	23.0	13	24.1	1213	644	292	5	8	All Students
0.5	166	2011	14.1	688	58.6	315	26.8	6	27.3	1175	646	321	5	8	All Students
2.6	1369	2010	21.5	3178	50.0	1648	25.9	166	28.5	6361	653	1814	5	All Grades	All Students
0.9	1203	2011	19.9	3084	51.0	1710	28.3	52	29.1	6049	653	1762	5	All Grades	All Students
7.7	513	2010	24.7	874	42.1	530	25.5	159	33.2	2076	656	689	6	3	All Students
1.3	485	2011	23.4	850	41.1	707	34.2	27	35.5	2069	654	734	6	3	All Students
1.3	360	2010	17.1	1062	50.4	658	31.2	28	32.5	2108	657	686	6	4	All Students
0.5	297	2011	14.1	1027	48.6	776	36.8	11	37.3	2111	659	787	6	4	All Students
4.9	390	2010	20.9	854	45.9	527	28.3	91	33.2	1862	661	618	6	5	All Students
2.5	314	2011	17.2	809	44.4	654	35.9	45	38.4	1822	662	699	6	5	All Students
1.3	492	2010	24.2	1050	51.7	463	22.8	26	24.1	2031	652	489	6	6	All Students
0.6	496	2011	26.8	828	44.7	518	27.9	12	28.6	1854	652	530	6	6	All Students
3.9	482	2010	22.6	1073	50.4	490	23.0	84	27.0	2129	655	574	6	7	All Students
0.6	399	2011	18.9	1211	57.3	492	23.3	12	23.8	2114	654	504	6	7	All Students
2.1	437	2010	19.4	1206	53.5	563	25.0	47	27.1	2253	644	610	6	8	All Students
0.2	384	2011	17.5	1349	61.6	453	20.7	4	20.9	2190	643	457	6	8	All Students
3.5	2674	2010	21.5	6119	49.1	3231	25.9	435	29.4	12459	654	3666	6	All Grades	All Students
0.9	2375	2011	19.5	6074	50.0	3600	29.6	111	30.5	12160	654	3711	6	All Grades	All Students
6.0	382	2010	28.8	539	40.6	326	24.6	79	30.5	1326	654	405	7	3	All Students
0.7	335	2011	25.8	588	45.3	366	28.2	9	28.9	1298	652	375	7	3	All Students
1.8	252	2010	19.4	701	54.0	321	24.7	24	26.6	1298	655	345	7	4	All Students
0.5	228	2011	16.9	688	51.1	424	31.5	7	32.0	1347	657	431	7	4	All Students
4.8	338	2010	26.6	603	47.4	271	21.3	61	26.1	1273	658	332	7	5	All Students
1.6	262	2011	20.8	636	50.6	339	27.0	20	28.6	1257	658	359	7	5	All Students
0.3	435	2010	32.4	687	51.1	218	16.2	4	16.5	1344	648	222	7	6	All Students
0.1	398	2011	29.2	666	48.8	300	22.0	1	22.1	1365	650	301	7	6	All Students
1.0	351	2010	25.6	786	57.4	219	16.0	14	17.0	1370	650	233	7	7	All Students
0.1	282	2011	21.0	849	63.1	213	15.8	2	16.0	1346	650	215	7	7	All Students
0.5	284	2010	20.2	809	57.6	304	21.7	7	22.2	1404	641	311	7	8	All Students
0.0	265	2011	19.2	901	65.4	211	15.3	0	15.3	1377	640	211	7	8	All Students
2.4	2042	2010	25.5	4125	51.5	1659	20.7	189	23.1	8015	651	1848	7	All Grades	All Students
0.5	1770	2011	22.2	4328	54.2	1853	23.2	39	23.7	7990	651	1892	7	All Grades	All Students
8.4	522	2010	22.4	907	39.0	703	30.2	196	38.6	2328	658	899	8	3	All Students
1.4	490	2011	21.4	969	42.3	800	34.9	31	36.3	2290	655	831	8	3	All Students
1.8	354	2010	14.8	1175	49.0	825	34.4	42	36.2	2396	660	867	8	4	All Students
0.9	354	2011	15.2	1029	44.1	928	39.8	22	40.7	2333	661	950	8	4	All Students
6.1	456	2010	19.4	999	42.6	748	31.9	143	38.0	2346	663	891	8	5	All Students
2.1	360	2011	14.9	1082	44.7	928	38.3	50	40.4	2420	662	978	8	5	All Students
0.7	498	2010	22.2	1088	48.5	642	28.6	15	29.3	2243	653	657	8	6	All Students
1.1	554	2011	23.9	986	42.5	757	32.6	25	33.7	2322	654	782	8	6	All Students
2.7	492	2010	20.7	1275	53.6	547	23.0	64	25.7	2378	654	611	8	7	All Students
0.7	438	2011	18.6	1387	58.8	515	21.8	17	22.6	2357	653	532	8	7	All Students
1.5	466	2010	19.3	1308	54.1	606	25.1	37	26.6	2417	644	643	8	8	All Students
0.2	323	2011	13.7	1443	61.3	583	24.8	4	24.9	2353	645	587	8	8	All Students
3.5	2788	2010	19.8	6752	47.9	4071	28.9	497	32.4	14108	655	4568	8	All Grades	All Students
1.1	2519	2011	17.9	6896	49.0	4511	32.0	149	33.1	14075	655	4660	8	All Grades	All Students
5.2	866	2010	30.7	1161	41.1	648	23.0	147	28.2	2822	652	795	9	3	All Students
0.6	741	2011	25.7	1238	43.0	883	30.7	16	31.2	2878	652	899	9	3	All Students
1.2	502	2010	17.9	1440	51.2	833	29.6	35	30.9	2810	656	868	9	4	All Students
0.6	429	2011	15.5	1443	52.0	887	32.0	16	32.5	2775	657	903	9	4	All Students
4.2	670	2010	25.1	1284	48.1	607	22.7	111	26.9	2672	658	718	9	5	All Students
1.1	555	2011	20.8	1326	49.8	751	28.2	30	29.3	2662	658	781	9	5	All Students
0.5	727	2010	26.7	1366	50.2	612	22.5	14	23.0	2719	651	626	9	6	All Students
0.4	842	2011	30.1	1295	46.3	647	23.1	11	23.5	2795	650	658	9	6	All Students
1.3	744	2010	26.7	1506	54.1	497	17.9	36	19.2	2783	650	533	9	7	All Students
0.2	605	2011	21.5	1705	60.7	491	17.5	7	17.7	2808	651	498	9	7	All Students
1.0	660	2010	21.5	1668	54.4	705	23.0	32	24.0	3065	642	737	9	8	All Students
0.1	567	2011	19.4	1815	62.1	541	18.5	2	18.6	2925	641	543	9	8	All Students
2.2	4169	2010	24.7	8425	49.9	3902	23.1	375	25.4	16871	651	4277	9	All Grades	All Students
0.5	3739	2011	22.2	8822	52.4	4200	24.9	82	25.4	16843	651	4282	9	All Grades	All Students
8.9	899	2010	22.3	1582	39.2	1195	29.6	357	38.5	4033	658	1552	10	3	All Students
2.0	843	2011	21.5	1598	40.8	1398	35.7	80	37.7	3919	655	1478	10	3	All Students
2.3	576	2010	14.4	1953	48.9	1372	34.4	91	36.6	3992	661	1463	10	4	All Students
0.5	554	2011	13.7	1858	46.0	1609	39.8	22	40.3	4043	661	1631	10	4	All Students
7.1	795	2010	20.8	1616	42.3	1141	29.9	270	36.9	3822	664	1411	10	5	All Students
2.3	641	2011	16.0	1952	48.8	1317	32.9	93	35.2	4003	661	1410	10	5	All Students
1.5	878	2010	23.2	1805	47.7	1043	27.6	57	29.1	3783	654	1100	10	6	All Students
0.8	874	2011	23.2	1668	44.3	1192	31.7	30	32.5	3764	653	1222	10	6	All Students
3.3	731	2010	19.7	1934	52.1	925	24.9	123	28.2	3713	655	1048	10	7	All Students
0.7	709	2011	18.8	2098	55.6	939	24.9	27	25.6	3773	654	966	10	7	All Students
2.0	749	2010	20.2	1970	53.1	917	24.7	74	26.7	3710	644	991	10	8	All Students
0.2	567	2011	14.9	2267	59.7	955	25.1	9	25.4	3798	645	964	10	8	All Students
4.2	4628	2010	20.1	10860	47.1	6593	28.6	972	32.8	23053	656	7565	10	All Grades	All Students
1.1	4188	2011	18.0	11441	49.1	7410	31.8	261	32.9	23300	655	7671	10	All Grades	All Students
9.1	678	2010	21.4	1229	38.8	973	30.7	288	39.8	3168	659	1261	11	3	All Students
1.8	619	2011	19.2	1290	40.1	1250	38.9	57	40.6	3216	657	1307	11	3	All Students
1.4	454	2010	14.0	1636	50.5	1104	34.1	45	35.5	3239	660	1149	11	4	All Students
1.1	390	2011	12.1	1409	43.6	1399	43.3	35	44.4	3233	664	1434	11	4	All Students
8.5	521	2010	16.4	1357	42.7	1028	32.4	271	40.9	3177	666	1299	11	5	All Students
2.7	416	2011	12.9	1396	43.4	1316	40.9	88	43.7	3216	664	1404	11	5	All Students
1.3	615	2010	20.4	1415	46.9	944	31.3	40	32.6	3014	655	984	11	6	All Students
1.0	615	2011	20.0	1314	42.8	1111	36.2	31	37.2	3071	655	1142	11	6	All Students
3.2	650	2010	21.6	1536	50.9	733	24.3	97	27.5	3016	655	830	11	7	All Students
0.7	419	2011	13.9	1745	58.0	823	27.4	22	28.1	3009	656	845	11	7	All Students
1.7	582	2010	18.4	1695	53.6	829	26.2	54	27.9	3160	645	883	11	8	All Students
0.6	462	2011	14.7	1902	60.6	753	24.0	20	24.6	3137	645	773	11	8	All Students
4.2	3500	2010	18.6	8868	47.2	5611	29.9	795	34.1	18774	657	6406	11	All Grades	All Students
1.3	2921	2011	15.5	9056	48.0	6652	35.2	253	36.6	18882	657	6905	11	All Grades	All Students
7.4	498	2010	28.0	662	37.3	486	27.3	131	34.7	1777	655	617	12	3	All Students
0.6	492	2011	26.8	785	42.8	545	29.7	11	30.3	1833	651	556	12	3	All Students
1.0	425	2010	23.1	918	49.8	481	26.1	18	27.1	1842	653	499	12	4	All Students
0.1	310	2011	17.0	868	47.7	641	35.2	2	35.3	1821	658	643	12	4	All Students
4.6	436	2010	24.1	817	45.2	473	26.1	83	30.7	1809	660	556	12	5	All Students
0.6	386	2011	21.7	857	48.1	529	29.7	10	30.2	1782	658	539	12	5	All Students
0.6	415	2010	23.0	888	49.2	491	27.2	11	27.8	1805	653	502	12	6	All Students
0.4	446	2011	26.0	805	47.0	456	26.6	7	27.0	1714	652	463	12	6	All Students
1.6	393	2010	21.7	1050	57.9	342	18.9	29	20.5	1814	652	371	12	7	All Students
0.5	370	2011	20.0	1109	59.9	362	19.6	9	20.1	1850	652	371	12	7	All Students
0.7	380	2010	21.2	1015	56.7	381	21.3	13	22.0	1789	641	394	12	8	All Students
0.2	304	2011	16.8	1198	66.1	307	16.9	3	17.1	1812	642	310	12	8	All Students
2.6	2547	2010	23.5	5350	49.4	2654	24.5	285	27.1	10836	652	2939	12	All Grades	All Students
0.4	2308	2011	21.3	5622	52.0	2840	26.3	42	26.7	10812	652	2882	12	All Grades	All Students
12.5	209	2010	19.1	395	36.1	353	32.3	137	44.8	1094	664	490	13	3	All Students
3.8	189	2011	17.3	408	37.4	452	41.4	42	45.3	1091	660	494	13	3	All Students
3.0	151	2010	13.5	493	44.2	438	39.3	33	42.2	1115	663	471	13	4	All Students
1.5	83	2011	7.9	435	41.2	522	49.4	16	50.9	1056	669	538	13	4	All Students
8.2	160	2010	15.1	452	42.8	358	33.9	87	42.1	1057	667	445	13	5	All Students
3.3	116	2011	11.0	452	43.0	447	42.6	35	45.9	1050	665	482	13	5	All Students
0.6	242	2010	21.3	584	51.4	303	26.7	7	27.3	1136	653	310	13	6	All Students
0.9	194	2011	17.1	524	46.3	404	35.7	10	36.6	1132	656	414	13	6	All Students
2.4	195	2010	17.7	578	52.4	304	27.6	26	29.9	1103	656	330	13	7	All Students
0.9	141	2011	12.7	665	59.9	295	26.6	10	27.5	1111	656	305	13	7	All Students
0.5	153	2010	13.9	653	59.5	286	26.0	6	26.6	1098	645	292	13	8	All Students
0.5	136	2011	12.1	673	59.8	311	27.6	6	28.2	1126	648	317	13	8	All Students
4.5	1110	2010	16.8	3155	47.8	2042	30.9	296	35.4	6603	658	2338	13	All Grades	All Students
1.8	859	2011	13.1	3157	48.1	2431	37.0	119	38.8	6566	659	2550	13	All Grades	All Students
12.3	240	2010	18.5	479	36.9	419	32.3	159	44.6	1297	663	578	14	3	All Students
3.6	233	2011	18.2	457	35.6	546	42.6	46	46.2	1282	659	592	14	3	All Students
3.5	145	2010	11.3	578	45.0	516	40.2	45	43.7	1284	665	561	14	4	All Students
1.5	136	2011	10.5	526	40.5	616	47.5	20	49.0	1298	667	636	14	4	All Students
11.2	205	2010	16.4	498	39.9	404	32.4	140	43.6	1247	668	544	14	5	All Students
4.2	144	2011	11.6	489	39.3	559	44.9	52	49.1	1244	667	611	14	5	All Students
2.0	276	2010	20.3	627	46.0	432	31.7	27	33.7	1362	655	459	14	6	All Students
1.8	262	2011	19.9	565	42.8	468	35.5	24	37.3	1319	656	492	14	6	All Students
5.4	205	2010	15.1	735	54.0	347	25.5	73	30.9	1360	659	420	14	7	All Students
1.2	204	2011	15.0	737	54.1	405	29.7	16	30.9	1362	657	421	14	7	All Students
3.2	185	2010	13.2	781	55.9	386	27.6	45	30.9	1397	648	431	14	8	All Students
0.4	160	2011	11.8	831	61.5	355	26.3	6	26.7	1352	647	361	14	8	All Students
6.2	1256	2010	15.8	3698	46.5	2504	31.5	489	37.7	7947	659	2993	14	All Grades	All Students
2.1	1139	2011	14.5	3605	45.9	2949	37.5	164	39.6	7857	659	3113	14	All Grades	All Students
21.7	318	2010	14.0	666	29.2	798	35.0	495	56.8	2277	673	1293	15	3	All Students
5.6	318	2011	12.9	765	31.0	1247	50.5	139	56.1	2469	664	1386	15	3	All Students
7.1	185	2010	8.4	757	34.3	1110	50.2	157	57.4	2209	674	1267	15	4	All Students
5.8	186	2011	8.1	667	28.9	1320	57.2	134	63.0	2307	677	1454	15	4	All Students
17.0	243	2010	11.7	716	34.5	761	36.7	353	53.7	2073	676	1114	15	5	All Students
8.4	231	2011	10.3	714	32.0	1099	49.2	188	57.7	2232	670	1287	15	5	All Students
4.2	227	2010	14.2	641	40.0	666	41.6	67	45.8	1601	660	733	15	6	All Students
5.6	202	2011	13.1	510	33.1	742	48.2	87	53.8	1541	663	829	15	6	All Students
11.4	202	2010	12.1	658	39.5	615	36.9	190	48.3	1665	667	805	15	7	All Students
4.9	161	2011	9.8	706	43.1	692	42.2	80	47.1	1639	664	772	15	7	All Students
7.3	161	2010	9.8	727	44.0	642	38.9	121	46.2	1651	657	763	15	8	All Students
1.8	154	2011	9.1	741	43.7	770	45.4	30	47.2	1695	655	800	15	8	All Students
12.1	1336	2010	11.6	4165	36.3	4592	40.0	1383	52.1	11476	669	5975	15	All Grades	All Students
5.5	1252	2011	10.5	4103	34.5	5870	49.4	658	54.9	11883	666	6528	15	All Grades	All Students
9.8	243	2010	26.8	319	35.1	257	28.3	89	38.1	908	658	346	16	3	All Students
1.5	163	2011	20.5	320	40.3	299	37.7	12	39.2	794	656	311	16	3	All Students
2.4	124	2010	14.0	398	44.9	344	38.8	21	41.1	887	663	365	16	4	All Students
2.9	106	2011	12.0	345	39.1	406	46.0	26	48.9	883	668	432	16	4	All Students
7.4	167	2010	18.6	386	42.9	280	31.1	67	38.6	900	665	347	16	5	All Students
3.1	127	2011	14.6	379	43.7	335	38.6	27	41.7	868	663	362	16	5	All Students
0.3	188	2010	29.6	330	51.9	116	18.2	2	18.6	636	650	118	16	6	All Students
0.1	175	2011	24.4	358	49.9	183	25.5	1	25.7	717	652	184	16	6	All Students
1.2	177	2010	25.8	366	53.4	134	19.6	8	20.7	685	651	142	16	7	All Students
0.2	112	2011	17.2	422	64.7	117	17.9	1	18.1	652	653	118	16	7	All Students
0.6	178	2010	21.8	482	59.1	151	18.5	5	19.1	816	640	156	16	8	All Students
0.1	118	2011	16.8	419	59.6	165	23.5	1	23.6	703	643	166	16	8	All Students
4.0	1077	2010	22.3	2281	47.2	1282	26.5	192	30.5	4832	655	1474	16	All Grades	All Students
1.5	801	2011	17.3	2243	48.6	1505	32.6	68	34.1	4617	657	1573	16	All Grades	All Students
9.5	433	2010	21.3	747	36.8	659	32.4	193	41.9	2032	659	852	17	3	All Students
2.8	340	2011	17.4	768	39.3	792	40.5	54	43.3	1954	658	846	17	3	All Students
1.4	322	2010	16.6	921	47.6	665	34.3	28	35.8	1936	659	693	17	4	All Students
0.7	232	2011	11.7	883	44.6	850	43.0	13	43.6	1978	663	863	17	4	All Students
7.4	349	2010	18.1	831	43.2	601	31.2	143	38.7	1924	665	744	17	5	All Students
2.3	290	2011	15.6	828	44.6	698	37.6	42	39.8	1858	662	740	17	5	All Students
1.7	456	2010	21.6	1002	47.4	621	29.3	37	31.1	2116	654	658	17	6	All Students
0.7	360	2011	17.2	912	43.6	807	38.6	14	39.2	2093	656	821	17	6	All Students
3.1	347	2010	16.7	1085	52.2	583	28.0	64	31.1	2079	657	647	17	7	All Students
0.9	327	2011	15.3	1170	54.6	626	29.2	19	30.1	2142	656	645	17	7	All Students
1.4	396	2010	18.2	1232	56.7	513	23.6	30	25.0	2171	644	543	17	8	All Students
0.4	283	2011	13.0	1294	59.6	586	27.0	9	27.4	2172	646	595	17	8	All Students
4.0	2303	2010	18.8	5818	47.5	3642	29.7	495	33.7	12258	656	4137	17	All Grades	All Students
1.2	1832	2011	15.0	5855	48.0	4359	35.7	151	37.0	12197	657	4510	17	All Grades	All Students
12.0	334	2010	19.8	617	36.6	532	31.6	202	43.6	1685	661	734	18	3	All Students
1.2	295	2011	17.6	675	40.3	685	40.9	20	42.1	1675	658	705	18	3	All Students
2.4	236	2010	13.2	846	47.4	662	37.1	42	39.4	1786	663	704	18	4	All Students
1.4	177	2011	10.2	691	39.9	840	48.5	24	49.9	1732	667	864	18	4	All Students
9.1	219	2010	13.1	699	41.9	598	35.9	151	44.9	1667	668	749	18	5	All Students
2.7	186	2011	11.2	725	43.8	701	42.3	45	45.0	1657	665	746	18	5	All Students
2.3	302	2010	20.6	711	48.5	420	28.6	34	30.9	1467	655	454	18	6	All Students
1.8	250	2011	16.7	665	44.5	552	36.9	27	38.8	1494	657	579	18	6	All Students
3.6	249	2010	18.1	718	52.3	358	26.1	49	29.6	1374	657	407	18	7	All Students
1.1	178	2011	11.7	878	57.7	450	29.6	16	30.6	1522	658	466	18	7	All Students
2.3	216	2010	14.3	889	58.9	369	24.5	35	26.8	1509	646	404	18	8	All Students
0.4	145	2011	10.3	856	60.7	404	28.7	5	29.0	1410	648	409	18	8	All Students
5.4	1556	2010	16.4	4480	47.2	2939	31.0	513	36.4	9488	659	3452	18	All Grades	All Students
1.4	1231	2011	13.0	4490	47.3	3632	38.3	137	39.7	9490	659	3769	18	All Grades	All Students
8.7	525	2010	24.0	801	36.7	669	30.6	189	39.3	2184	658	858	19	3	All Students
1.1	499	2011	22.7	901	41.0	774	35.2	25	36.3	2199	655	799	19	3	All Students
1.3	370	2010	16.7	1135	51.2	682	30.8	28	32.1	2215	657	710	19	4	All Students
0.7	284	2011	12.8	1040	47.0	876	39.5	15	40.2	2215	662	891	19	4	All Students
4.9	458	2010	21.7	938	44.5	611	29.0	103	33.8	2110	661	714	19	5	All Students
1.7	374	2011	17.8	997	47.4	695	33.1	36	34.8	2102	660	731	19	5	All Students
0.9	447	2010	23.3	953	49.7	501	26.1	17	27.0	1918	652	518	19	6	All Students
0.7	425	2011	22.4	829	43.7	631	33.2	13	33.9	1898	654	644	19	6	All Students
2.5	407	2010	21.2	1053	54.8	414	21.5	48	24.0	1922	653	462	19	7	All Students
0.9	328	2011	17.3	1132	59.8	416	22.0	17	22.9	1893	654	433	19	7	All Students
1.2	421	2010	20.5	1174	57.1	435	21.2	25	22.4	2055	642	460	19	8	All Students
0.2	340	2011	16.9	1206	60.1	456	22.7	4	22.9	2006	643	460	19	8	All Students
3.3	2628	2010	21.2	6054	48.8	3312	26.7	410	30.0	12404	654	3722	19	All Grades	All Students
0.9	2250	2011	18.3	6105	49.6	3848	31.3	110	32.1	12313	655	3958	19	All Grades	All Students
14.2	396	2010	13.6	982	33.7	1123	38.5	414	52.7	2915	666	1537	20	3	All Students
4.2	418	2011	13.0	1021	31.8	1642	51.1	134	55.2	3215	663	1776	20	3	All Students
7.2	241	2010	8.1	1029	34.6	1491	50.1	214	57.3	2975	674	1705	20	4	All Students
3.4	272	2011	9.0	973	32.2	1672	55.4	102	58.8	3019	673	1774	20	4	All Students
14.9	342	2010	11.7	896	30.6	1253	42.8	436	57.7	2927	675	1689	20	5	All Students
6.7	309	2011	9.9	968	31.1	1630	52.3	209	59.0	3116	670	1839	20	5	All Students
4.2	413	2010	13.9	1135	38.3	1294	43.6	124	47.8	2966	661	1418	20	6	All Students
3.4	520	2011	16.1	1110	34.3	1499	46.3	110	49.7	3239	660	1609	20	6	All Students
10.1	421	2010	14.1	1177	39.3	1094	36.5	303	46.6	2995	665	1397	20	7	All Students
3.5	402	2011	12.6	1346	42.3	1324	41.6	111	45.1	3183	662	1435	20	7	All Students
7.1	422	2010	12.9	1316	40.3	1295	39.7	233	46.8	3266	655	1528	20	8	All Students
1.4	417	2011	12.9	1451	45.0	1314	40.7	44	42.1	3226	652	1358	20	8	All Students
9.6	2235	2010	12.4	6535	36.2	7550	41.8	1724	51.4	18044	666	9274	20	All Grades	All Students
3.7	2338	2011	12.3	6869	36.2	9081	47.8	710	51.5	18998	663	9791	20	All Grades	All Students
14.7	266	2010	14.1	647	34.2	700	37.0	277	51.7	1890	666	977	21	3	All Students
4.7	247	2011	13.1	614	32.6	936	49.6	89	54.3	1886	663	1025	21	3	All Students
6.1	206	2010	11.1	642	34.7	890	48.1	113	54.2	1851	671	1003	21	4	All Students
2.8	146	2011	7.5	703	36.3	1033	53.4	54	56.1	1936	673	1087	21	4	All Students
14.3	226	2010	12.2	616	33.3	741	40.1	265	54.4	1848	673	1006	21	5	All Students
6.4	175	2011	9.6	643	35.3	886	48.7	116	55.1	1820	669	1002	21	5	All Students
5.8	287	2010	11.3	906	35.6	1206	47.3	148	53.2	2547	663	1354	21	6	All Students
6.0	288	2011	11.4	774	30.6	1314	52.0	152	58.0	2528	664	1466	21	6	All Students
13.2	265	2010	9.8	963	35.5	1129	41.6	359	54.8	2716	671	1488	21	7	All Students
5.5	197	2011	7.6	1044	40.4	1201	46.5	142	52.0	2584	666	1343	21	7	All Students
8.4	247	2010	8.8	1078	38.2	1260	44.7	236	53.0	2821	660	1496	21	8	All Students
2.9	207	2011	7.4	1122	40.3	1377	49.4	81	52.3	2787	658	1458	21	8	All Students
10.2	1497	2010	10.9	4852	35.5	5926	43.3	1398	53.6	13673	667	7324	21	All Grades	All Students
4.7	1260	2011	9.3	4900	36.2	6747	49.8	634	54.5	13541	665	7381	21	All Grades	All Students
16.8	407	2010	14.2	920	32.1	1055	36.9	480	53.6	2862	668	1535	22	3	All Students
3.7	323	2011	11.1	993	34.2	1478	50.9	108	54.7	2902	663	1586	22	3	All Students
6.3	231	2010	7.9	1153	39.5	1354	46.4	183	52.6	2921	672	1537	22	4	All Students
4.1	221	2011	7.5	1022	34.6	1591	53.8	122	57.9	2956	674	1713	22	4	All Students
13.9	308	2010	11.0	997	35.6	1107	39.5	389	53.4	2801	675	1496	22	5	All Students
5.7	256	2011	8.8	1053	36.3	1424	49.1	165	54.8	2898	669	1589	22	5	All Students
3.3	311	2010	12.7	1005	41.1	1046	42.8	81	46.1	2443	660	1127	22	6	All Students
2.7	327	2011	13.7	929	39.0	1064	44.6	64	47.3	2384	660	1128	22	6	All Students
8.8	271	2010	11.1	1029	42.3	919	37.8	215	46.6	2434	666	1134	22	7	All Students
1.8	262	2011	10.6	1194	48.5	962	39.1	44	40.9	2462	661	1006	22	7	All Students
5.3	280	2010	11.0	1149	45.2	978	38.5	136	43.8	2543	654	1114	22	8	All Students
1.5	198	2011	8.1	1188	48.6	1023	41.8	36	43.3	2445	654	1059	22	8	All Students
9.3	1808	2010	11.3	6253	39.1	6459	40.4	1484	49.6	16004	666	7943	22	All Grades	All Students
3.4	1587	2011	9.9	6379	39.8	7542	47.0	539	50.4	16047	664	8081	22	All Grades	All Students
5.8	299	2010	29.8	397	39.5	251	25.0	58	30.7	1005	652	309	23	3	All Students
0.8	294	2011	28.5	445	43.2	283	27.5	8	28.3	1030	650	291	23	3	All Students
1.1	229	2010	21.9	516	49.4	288	27.6	12	28.7	1045	654	300	23	4	All Students
0.4	147	2011	14.8	486	49.0	355	35.8	4	36.2	992	660	359	23	4	All Students
4.1	226	2010	24.1	456	48.6	218	23.2	38	27.3	938	658	256	23	5	All Students
1.2	198	2011	20.3	439	44.9	328	33.6	12	34.8	977	659	340	23	5	All Students
0.6	253	2010	19.7	641	49.9	382	29.8	8	30.4	1284	654	390	23	6	All Students
1.7	203	2011	17.8	539	47.3	379	33.2	19	34.9	1140	656	398	23	6	All Students
2.3	244	2010	18.1	726	54.0	344	25.6	31	27.9	1345	655	375	23	7	All Students
0.9	173	2011	13.1	791	59.7	348	26.3	12	27.2	1324	656	360	23	7	All Students
1.9	221	2010	17.1	736	56.8	315	24.3	24	26.2	1296	645	339	23	8	All Students
0.1	178	2011	13.5	817	61.9	323	24.5	1	24.6	1319	646	324	23	8	All Students
2.5	1472	2010	21.3	3472	50.2	1798	26.0	171	28.5	6913	653	1969	23	All Grades	All Students
0.8	1193	2011	17.6	3517	51.9	2016	29.7	56	30.6	6782	654	2072	23	All Grades	All Students
12.6	611	2010	14.7	1479	35.7	1531	36.9	523	49.6	4144	665	2054	24	3	All Students
